10390	Gedges Rocks	Rock
10391	Whitney Point	Point
10392	Whittle Peninsula	Peninsula
10393	Hailstorm Island	Island
10394	Marguerite Bay	Bay
10395	Emperor Point	Point
10396	Haihun Jiao	Reef
10397	Haigh Point	Point
10398	Étienne Fjord	Fjord
10399	Hahn Island	Island
104	Gravesham	District
1040	Colembert	Commune
10400	Fletcher Bay	Bay
10401	Melville Point	Point
10402	Camp Point	Point
10403	Kitano-seto Strait	Strait
10404	Sawadowskij Hukk	Cape
10405	Lamas, Cape	Cape
10406	Reluctant Island	Island
10407	Aburto, Punta	Point
10408	Café Point	Point
10409	Relief Inlet	Inlet
1041	Le Wast	Commune
10410	Smelykh Island	Island
10411	Cadwalader Beach	Beach
10412	Smellie, Point	Point
10413	Worley Point	Point
10414	Worth Reef	Reef
10415	Småskeidet	Headland
10416	Worsley, Cape	Cape
10417	Alice Creek	Cove
10418	Calmette, Cape	Cape
10419	Calmette Bay	Bay
1042	Vieil-Moutier	Commune
10420	Calma, bahía	Bay
10421	Carmen, península	Peninsula
10422	Caloplaca Cove	Cove
10423	Graptolite Island	Island
10424	Kitano-ura Cove	Cove
10425	Cam Rock	Rock
10426	Inott Point	Point
10427	Couyoumdjian, Caleta	Cove
10428	Haydn Inlet	Inlet
10429	Moreno, Point	Point
1043	Desvres	Commune
10430	Inoceramus Point	Point
10431	Huanglong Xia	Strait
10432	Huangjin Wan	Bay
10433	Huaxia Wan	Bay
10434	Huaxi Bandao	Peninsula
10435	Huashan Bandao	Peninsula
10436	Akebono Point	Point
10437	Akkuratnaya Cove	Cove
10438	Kitchen Point	Point
10439	Alagon, islote	Island
1044	Frencq	Commune
10440	Camp II Point	Point
10441	Cave Island	Island
10442	Mackellar Islands	Archipelago
10443	Marguerite Island	Island
10444	Vaughan Promontory	Promontory
10445	Yatasto, cabo	Cape
10446	Yanshi Wan	Bay
10447	Dreary Isthmus	Isthmus
10448	Dunbar Head	Headland
10449	Iseult, Ile	Island
1045	Lefaux	Commune
10450	Krichak Bay	Bay
10451	Kring Islands	Archipelago
10452	Heynen, bahía	Bay
10453	Richardson Island	Island
10454	Guépratte Island	Island
10455	Hibbert Rock	Rock
10456	Heywood, Islotes	Archipelago
10457	Hammersly, Cape	Cape
10458	Felton Head	Headland
10459	Felt, Cape	Cape
1046	Maresville	Commune
10460	Felsite Island	Island
10461	Balija, punta	Point
10462	Fengbao Wan	Bay
10463	Slab Island	Island
10464	Mendori Island	Island
10465	Hutchinson Island	Island
10466	Heidemann Bay	Bay
10467	Heidelberginsel	Archipelago
10468	Ellsworth Land	General Region
10469	Heftye Island	Island
1047	Beutin	Commune
10470	Burgas Peninsula	Peninsula
10471	Proa, punta	Point
10472	Changcheng Wan	Bay
10473	Proclamation Island	Island
10474	Aytos Point	Point
10475	Mendelssohn Inlet	Inlet
10476	McSweeney Point	Point
10477	Tucker Inlet	Inlet
10478	Clark Point	Point
10479	Clark Peninsula	Peninsula
1048	Longvillers	Commune
10480	Corbetta, punta	Point
10481	Minami-karamete Rock	Rock
10482	Nerpa, ostrov	Island
10483	Gertrude Rock	Rock
10484	Hamilton Point	Point
10485	Nesholmen Island	Island
10486	Nesøya	Island
10487	Kvassodden	Headland
10488	Jorobada, punta	Point
10489	Furque, islotes	Archipelago
1049	Montcavrel	Commune
10490	Goodenough, Cape	Cape
10491	Kvars Bay	Bay
10492	Kvars Promontory	Promontory
10493	Flensing Islands	Archipelago
10494	Norseman Point	Point
10495	Norsel Point	Point
10496	Norsel, Rock	Rock
10497	Fyr Channel	Channel
10498	Graham Land	Peninsula
10499	Doolette Bay	Bay
105	Canterbury	District
1050	Cormont	Commune
10500	Breccia Island	Island
10501	Donskiye Islands	Archipelago
10502	Varcoe Headland	Headland
10503	Breakwater Island	Island
10504	Tyree Head	Headland
10505	Uberuaga Island	Island
10506	Marie Byrd Land	General Region
10507	Towle Point	Point
10508	Mariholm	Island
10509	Tripp Ice Tongue	Tongue
1051	Estréelles	Commune
10510	Lauff Island	Island
10511	Midgley Reefs	Reef
10512	Robert Island	Island
10513	Midgley Island	Island
10514	Robbery Beaches	Beach
10515	Robbins Island	Island
10516	Robbio, islote	Island
10517	Garnet Rocks	Rock
10518	Gradzinski Cove	Cove
10519	Aviation Islands	Archipelago
1052	Camiers	Commune
