id	resolution	upstream	target	note
TL-AL	upstream	iso-3166-2-subdivisions		
TL-AN	upstream	iso-3166-2-subdivisions		
TL-BA	upstream	iso-3166-2-subdivisions		
TL-BO	upstream	iso-3166-2-subdivisions		
TL-CO	upstream	iso-3166-2-subdivisions		
TL-DI	upstream	iso-3166-2-subdivisions		
TL-ER	upstream	iso-3166-2-subdivisions		
TL-LA	upstream	iso-3166-2-subdivisions		
TL-LI	upstream	iso-3166-2-subdivisions		
TL-MF	upstream	iso-3166-2-subdivisions		
TL-MT	upstream	iso-3166-2-subdivisions		
TL-OE	upstream	iso-3166-2-subdivisions		
TL-VI	upstream	iso-3166-2-subdivisions		
TM	upstream	iso-3166-1-countries		
TM-A	upstream	iso-3166-2-subdivisions		
TM-B	upstream	iso-3166-2-subdivisions		
TM-D	upstream	iso-3166-2-subdivisions		
TM-L	upstream	iso-3166-2-subdivisions		
TM-M	upstream	iso-3166-2-subdivisions		
TM-S	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TN	upstream	iso-3166-1-countries		
TN-11	upstream	iso-3166-2-subdivisions		
TN-12	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TN-13	upstream	iso-3166-2-subdivisions		
TN-14	upstream	iso-3166-2-subdivisions		
TN-21	upstream	iso-3166-2-subdivisions		
TN-22	upstream	iso-3166-2-subdivisions		
TN-23	upstream	iso-3166-2-subdivisions		
TN-31	upstream	iso-3166-2-subdivisions		
TN-32	upstream	iso-3166-2-subdivisions		
TN-33	upstream	iso-3166-2-subdivisions		
TN-34	upstream	iso-3166-2-subdivisions		
TN-41	upstream	iso-3166-2-subdivisions		
TN-42	upstream	iso-3166-2-subdivisions		
TN-43	upstream	iso-3166-2-subdivisions		
TN-51	upstream	iso-3166-2-subdivisions		
TN-52	upstream	iso-3166-2-subdivisions		
TN-53	upstream	iso-3166-2-subdivisions		
TN-61	upstream	iso-3166-2-subdivisions		
TN-71	upstream	iso-3166-2-subdivisions		
TN-72	upstream	iso-3166-2-subdivisions		
TN-73	upstream	iso-3166-2-subdivisions		
TN-81	upstream	iso-3166-2-subdivisions		
TN-82	upstream	iso-3166-2-subdivisions		
TN-83	upstream	iso-3166-2-subdivisions		
TO	upstream	iso-3166-1-countries		
TO-01	upstream	iso-3166-2-subdivisions		
TO-02	upstream	iso-3166-2-subdivisions		
TO-03	upstream	iso-3166-2-subdivisions		
TO-04	upstream	iso-3166-2-subdivisions		
TO-05	upstream	iso-3166-2-subdivisions		
TP	alias-symlink	iso-3166-1-countries	TL	ISO 3166-3, withdrawn 2002 (replaced by TL)
TR	upstream	iso-3166-1-countries		
TR-01	upstream	iso-3166-2-subdivisions		
TR-02	upstream	iso-3166-2-subdivisions		
TR-03	upstream	iso-3166-2-subdivisions		
TR-04	upstream	iso-3166-2-subdivisions		
TR-05	upstream	iso-3166-2-subdivisions		
TR-06	upstream	iso-3166-2-subdivisions		
TR-07	upstream	iso-3166-2-subdivisions		
TR-08	upstream	iso-3166-2-subdivisions		
TR-09	upstream	iso-3166-2-subdivisions		
TR-10	upstream	iso-3166-2-subdivisions		
TR-11	upstream	iso-3166-2-subdivisions		
TR-12	upstream	iso-3166-2-subdivisions		
TR-13	upstream	iso-3166-2-subdivisions		
TR-14	upstream	iso-3166-2-subdivisions		
TR-15	upstream	iso-3166-2-subdivisions		
TR-16	upstream	iso-3166-2-subdivisions		
TR-17	upstream	iso-3166-2-subdivisions		
TR-18	upstream	iso-3166-2-subdivisions		
TR-19	upstream	iso-3166-2-subdivisions		
TR-20	upstream	iso-3166-2-subdivisions		
TR-21	upstream	iso-3166-2-subdivisions		
TR-22	upstream	iso-3166-2-subdivisions		
TR-23	upstream	iso-3166-2-subdivisions		
TR-24	upstream	iso-3166-2-subdivisions		
TR-25	upstream	iso-3166-2-subdivisions		
TR-26	upstream	iso-3166-2-subdivisions		
TR-27	upstream	iso-3166-2-subdivisions		
TR-28	upstream	iso-3166-2-subdivisions		
TR-29	upstream	iso-3166-2-subdivisions		
TR-30	upstream	iso-3166-2-subdivisions		
TR-31	upstream	iso-3166-2-subdivisions		
TR-32	upstream	iso-3166-2-subdivisions		
TR-33	upstream	iso-3166-2-subdivisions		
TR-34	upstream	iso-3166-2-subdivisions		
TR-35	upstream	iso-3166-2-subdivisions		
TR-36	upstream	iso-3166-2-subdivisions		
TR-37	upstream	iso-3166-2-subdivisions		
TR-38	upstream	iso-3166-2-subdivisions		
TR-39	upstream	iso-3166-2-subdivisions		
TR-40	upstream	iso-3166-2-subdivisions		
TR-41	upstream	iso-3166-2-subdivisions		
TR-42	upstream	iso-3166-2-subdivisions		
TR-43	upstream	iso-3166-2-subdivisions		
TR-44	upstream	iso-3166-2-subdivisions		
TR-45	upstream	iso-3166-2-subdivisions		
TR-46	upstream	iso-3166-2-subdivisions		
TR-47	upstream	iso-3166-2-subdivisions		
TR-48	upstream	iso-3166-2-subdivisions		
TR-49	upstream	iso-3166-2-subdivisions		
TR-50	upstream	iso-3166-2-subdivisions		
TR-51	upstream	iso-3166-2-subdivisions		
TR-52	upstream	iso-3166-2-subdivisions		
TR-53	upstream	iso-3166-2-subdivisions		
TR-54	upstream	iso-3166-2-subdivisions		
TR-55	upstream	iso-3166-2-subdivisions		
TR-56	upstream	iso-3166-2-subdivisions		
TR-57	upstream	iso-3166-2-subdivisions		
TR-58	upstream	iso-3166-2-subdivisions		
TR-59	upstream	iso-3166-2-subdivisions		
TR-60	upstream	iso-3166-2-subdivisions		
TR-61	upstream	iso-3166-2-subdivisions		
TR-62	upstream	iso-3166-2-subdivisions		
TR-63	upstream	iso-3166-2-subdivisions		
TR-64	upstream	iso-3166-2-subdivisions		
TR-65	upstream	iso-3166-2-subdivisions		
TR-66	upstream	iso-3166-2-subdivisions		
TR-67	upstream	iso-3166-2-subdivisions		
TR-68	upstream	iso-3166-2-subdivisions		
TR-69	upstream	iso-3166-2-subdivisions		
TR-70	upstream	iso-3166-2-subdivisions		
TR-71	upstream	iso-3166-2-subdivisions		
TR-72	upstream	iso-3166-2-subdivisions		
TR-73	upstream	iso-3166-2-subdivisions		
TR-74	upstream	iso-3166-2-subdivisions		
TR-75	upstream	iso-3166-2-subdivisions		
TR-76	upstream	iso-3166-2-subdivisions		
TR-77	upstream	iso-3166-2-subdivisions		
TR-78	upstream	iso-3166-2-subdivisions		
TR-79	upstream	iso-3166-2-subdivisions		
TR-80	upstream	iso-3166-2-subdivisions		
TR-81	upstream	iso-3166-2-subdivisions		
TT	upstream	iso-3166-1-countries		
TT-ARI	upstream	iso-3166-2-subdivisions		
TT-CHA	upstream	iso-3166-2-subdivisions		
TT-CTT	upstream	iso-3166-2-subdivisions		
TT-DMN	upstream	iso-3166-2-subdivisions		
TT-ETO	upstream	iso-3166-2-subdivisions		
TT-MRC	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TT-PED	upstream	iso-3166-2-subdivisions		
TT-POS	upstream	iso-3166-2-subdivisions		
TT-PRT	upstream	iso-3166-2-subdivisions		
TT-PTF	upstream	iso-3166-2-subdivisions		
TT-RCM	upstream	iso-3166-2-subdivisions		
TT-SFO	upstream	iso-3166-2-subdivisions		
TT-SGE	upstream	iso-3166-2-subdivisions		
TT-SIP	upstream	iso-3166-2-subdivisions		
TT-SJL	upstream	iso-3166-2-subdivisions		
TT-TOB	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TT-TUP	upstream	iso-3166-2-subdivisions		
TT-WTO	upstream	iso-3166-2-subdivisions		
TV	upstream	iso-3166-1-countries		
TV-FUN	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NIT	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NKF	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NKL	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NMA	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NMG	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-NUI	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TV-VAI	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
TW	upstream	iso-3166-1-countries		
