id	resolution	upstream	target	note
AD	upstream	iso-3166-1-countries		
AD-02	upstream	iso-3166-2-subdivisions		
AD-03	upstream	iso-3166-2-subdivisions		
AD-04	upstream	iso-3166-2-subdivisions		
AD-05	upstream	iso-3166-2-subdivisions		
AD-06	upstream	iso-3166-2-subdivisions		
AD-07	upstream	iso-3166-2-subdivisions		
AD-08	upstream	iso-3166-2-subdivisions		
AE	upstream	iso-3166-1-countries		
AE-AJ	upstream	iso-3166-2-subdivisions		
AE-AZ	upstream	iso-3166-2-subdivisions		
AE-DU	upstream	iso-3166-2-subdivisions		
AE-FU	upstream	iso-3166-2-subdivisions		
AE-RK	upstream	iso-3166-2-subdivisions		
AE-SH	upstream	iso-3166-2-subdivisions		
AE-UQ	upstream	iso-3166-2-subdivisions		
AF	upstream	iso-3166-1-countries		
AF-BAL	upstream	iso-3166-2-subdivisions		
AF-BAM	upstream	iso-3166-2-subdivisions		
AF-BDG	upstream	iso-3166-2-subdivisions		
AF-BDS	upstream	iso-3166-2-subdivisions		
AF-BGL	upstream	iso-3166-2-subdivisions		
AF-DAY	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AF-FRA	upstream	iso-3166-2-subdivisions		
AF-FYB	upstream	iso-3166-2-subdivisions		
AF-GHA	upstream	iso-3166-2-subdivisions		
AF-GHO	upstream	iso-3166-2-subdivisions		
AF-HEL	upstream	iso-3166-2-subdivisions		
AF-HER	upstream	iso-3166-2-subdivisions		
AF-JOW	upstream	iso-3166-2-subdivisions		
AF-KAB	upstream	iso-3166-2-subdivisions		
AF-KAN	upstream	iso-3166-2-subdivisions		
AF-KAP	upstream	iso-3166-2-subdivisions		
AF-KDZ	upstream	iso-3166-2-subdivisions		
AF-KHO	upstream	iso-3166-2-subdivisions		
AF-KNR	upstream	iso-3166-2-subdivisions		
AF-LAG	upstream	iso-3166-2-subdivisions		
AF-LOG	upstream	iso-3166-2-subdivisions		
AF-NAN	upstream	iso-3166-2-subdivisions		
AF-NIM	upstream	iso-3166-2-subdivisions		
AF-NUR	upstream	iso-3166-2-subdivisions		
AF-PAN	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AF-PAR	upstream	iso-3166-2-subdivisions		
AF-PIA	upstream	iso-3166-2-subdivisions		
AF-PKA	upstream	iso-3166-2-subdivisions		
AF-SAM	upstream	iso-3166-2-subdivisions		
AF-SAR	upstream	iso-3166-2-subdivisions		
AF-TAK	upstream	iso-3166-2-subdivisions		
AF-URU	upstream	iso-3166-2-subdivisions		
AF-WAR	upstream	iso-3166-2-subdivisions		
AF-ZAB	upstream	iso-3166-2-subdivisions		
AG	upstream	iso-3166-1-countries		
AG-03	upstream	iso-3166-2-subdivisions		
AG-04	upstream	iso-3166-2-subdivisions		
AG-05	upstream	iso-3166-2-subdivisions		
AG-06	upstream	iso-3166-2-subdivisions		
AG-07	upstream	iso-3166-2-subdivisions		
AG-08	upstream	iso-3166-2-subdivisions		
AG-10	upstream	iso-3166-2-subdivisions		
AG-11	upstream	iso-3166-2-subdivisions		
AI	upstream	iso-3166-1-countries		
AI-X00	upstream	iso-3166-2-subdivisions		
AL	upstream	iso-3166-1-countries		
AL-01	upstream	iso-3166-2-subdivisions		
AL-02	upstream	iso-3166-2-subdivisions		
AL-03	upstream	iso-3166-2-subdivisions		
AL-04	upstream	iso-3166-2-subdivisions		
AL-05	upstream	iso-3166-2-subdivisions		
AL-06	upstream	iso-3166-2-subdivisions		
AL-07	upstream	iso-3166-2-subdivisions		
AL-08	upstream	iso-3166-2-subdivisions		
AL-09	upstream	iso-3166-2-subdivisions		
AL-10	upstream	iso-3166-2-subdivisions		
AL-11	upstream	iso-3166-2-subdivisions		
AL-12	upstream	iso-3166-2-subdivisions		
AL-BR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-01
AL-BU	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-09
AL-DI	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-09
AL-DL	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-12
AL-DR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-02
AL-DV	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-06
AL-EL	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-03
AL-ER	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-06
AL-FR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-04
AL-GJ	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-05
AL-GR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-03
AL-HA	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-07
AL-KA	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-11
AL-KB	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-08
AL-KC	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-01
AL-KO	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-06
AL-KR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-02
AL-KU	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-07
AL-LB	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-03
AL-LE	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-08
AL-LU	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-04
AL-MK	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-04
AL-MM	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-10
AL-MR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-08
AL-MT	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-09
AL-PG	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-06
AL-PQ	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-03
AL-PR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-05
AL-PU	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-10
AL-SH	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-10
AL-SK	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-01
AL-SR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-12
AL-TE	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-05
AL-TP	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-07
AL-TR	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-11
AL-VL	placeholder-circle	iso-3166-2-placeholder-circle		parent=AL-12
AM	upstream	iso-3166-1-countries		
AM-AG	upstream	iso-3166-2-subdivisions		
AM-AR	upstream	iso-3166-2-subdivisions		
AM-AV	upstream	iso-3166-2-subdivisions		
AM-ER	upstream	iso-3166-2-subdivisions		
AM-GR	upstream	iso-3166-2-subdivisions		
AM-KT	upstream	iso-3166-2-subdivisions		
AM-LO	upstream	iso-3166-2-subdivisions		
AM-SH	upstream	iso-3166-2-subdivisions		
AM-SU	upstream	iso-3166-2-subdivisions		
AM-TV	upstream	iso-3166-2-subdivisions		
AM-VD	upstream	iso-3166-2-subdivisions		
AN	dissolved	iso-3166-3-dissolved-successors		ISO 3166-3, withdrawn 2010
AO	upstream	iso-3166-1-countries		
AO-BGO	upstream	iso-3166-2-subdivisions		
AO-BGU	upstream	iso-3166-2-subdivisions		
AO-BIE	upstream	iso-3166-2-subdivisions		
AO-CAB	upstream	iso-3166-2-subdivisions		
AO-CCU	upstream	iso-3166-2-subdivisions		
AO-CNN	upstream	iso-3166-2-subdivisions		
AO-CNO	upstream	iso-3166-2-subdivisions		
AO-CUS	upstream	iso-3166-2-subdivisions		
AO-HUA	upstream	iso-3166-2-subdivisions		
AO-HUI	upstream	iso-3166-2-subdivisions		
AO-LNO	upstream	iso-3166-2-subdivisions		
AO-LSU	upstream	iso-3166-2-subdivisions		
AO-LUA	upstream	iso-3166-2-subdivisions		
AO-MAL	upstream	iso-3166-2-subdivisions		
AO-MOX	upstream	iso-3166-2-subdivisions		
AO-NAM	upstream	iso-3166-2-subdivisions		
AO-UIG	upstream	iso-3166-2-subdivisions		
AO-ZAI	upstream	iso-3166-2-subdivisions		
AQ	upstream	iso-3166-1-countries		
AR	upstream	iso-3166-1-countries		
AR-A	upstream	iso-3166-2-subdivisions		
AR-B	upstream	iso-3166-2-subdivisions		
AR-C	upstream	iso-3166-2-subdivisions		
AR-D	upstream	iso-3166-2-subdivisions		
AR-E	upstream	iso-3166-2-subdivisions		
AR-F	upstream	iso-3166-2-subdivisions		
AR-G	upstream	iso-3166-2-subdivisions		
AR-H	upstream	iso-3166-2-subdivisions		
AR-J	upstream	iso-3166-2-subdivisions		
AR-K	upstream	iso-3166-2-subdivisions		
AR-L	upstream	iso-3166-2-subdivisions		
AR-M	upstream	iso-3166-2-subdivisions		
AR-N	upstream	iso-3166-2-subdivisions		
AR-P	upstream	iso-3166-2-subdivisions		
AR-Q	upstream	iso-3166-2-subdivisions		
AR-R	upstream	iso-3166-2-subdivisions		
AR-S	upstream	iso-3166-2-subdivisions		
AR-T	upstream	iso-3166-2-subdivisions		
AR-U	upstream	iso-3166-2-subdivisions		
AR-V	upstream	iso-3166-2-subdivisions		
AR-W	upstream	iso-3166-2-subdivisions		
AR-X	upstream	iso-3166-2-subdivisions		
AR-Y	upstream	iso-3166-2-subdivisions		
AR-Z	upstream	iso-3166-2-subdivisions		
AS	upstream	iso-3166-1-countries		
AT	upstream	iso-3166-1-countries		
AT-1	upstream	iso-3166-2-subdivisions		
AT-2	upstream	iso-3166-2-subdivisions		
AT-3	upstream	iso-3166-2-subdivisions		
AT-4	upstream	iso-3166-2-subdivisions		
AT-5	upstream	iso-3166-2-subdivisions		
AT-6	upstream	iso-3166-2-subdivisions		
AT-7	upstream	iso-3166-2-subdivisions		
AT-8	upstream	iso-3166-2-subdivisions		
AT-9	upstream	iso-3166-2-subdivisions		
AU	upstream	iso-3166-1-countries		
AU-ACT	upstream	iso-3166-2-subdivisions		
AU-NSW	upstream	iso-3166-2-subdivisions		
AU-NT	upstream	iso-3166-2-subdivisions		
AU-QLD	upstream	iso-3166-2-subdivisions		
AU-SA	upstream	iso-3166-2-subdivisions		
AU-TAS	upstream	iso-3166-2-subdivisions		
AU-VIC	upstream	iso-3166-2-subdivisions		
AU-WA	upstream	iso-3166-2-subdivisions		
AW	upstream	iso-3166-1-countries		
AX	upstream	iso-3166-1-countries		
AZ	upstream	iso-3166-1-countries		
AZ-ABS	upstream	iso-3166-2-subdivisions		
AZ-AGA	upstream	iso-3166-2-subdivisions		
AZ-AGC	upstream	iso-3166-2-subdivisions		
AZ-AGM	upstream	iso-3166-2-subdivisions		
AZ-AGS	upstream	iso-3166-2-subdivisions		
AZ-AGU	upstream	iso-3166-2-subdivisions		
AZ-AST	upstream	iso-3166-2-subdivisions		
AZ-BA	upstream	iso-3166-2-subdivisions		
AZ-BAB	upstream	iso-3166-2-subdivisions		
AZ-BAL	upstream	iso-3166-2-subdivisions		
AZ-BAR	upstream	iso-3166-2-subdivisions		
AZ-BEY	upstream	iso-3166-2-subdivisions		
AZ-BIL	upstream	iso-3166-2-subdivisions		
AZ-CAB	upstream	iso-3166-2-subdivisions		
AZ-CAL	upstream	iso-3166-2-subdivisions		
AZ-CUL	upstream	iso-3166-2-subdivisions		
AZ-DAS	upstream	iso-3166-2-subdivisions		
AZ-FUZ	upstream	iso-3166-2-subdivisions		
AZ-GA	upstream	iso-3166-2-subdivisions		
AZ-GAD	upstream	iso-3166-2-subdivisions		
AZ-GOR	upstream	iso-3166-2-subdivisions		
AZ-GOY	upstream	iso-3166-2-subdivisions		
AZ-GYG	upstream	iso-3166-2-subdivisions		
AZ-HAC	upstream	iso-3166-2-subdivisions		
AZ-IMI	upstream	iso-3166-2-subdivisions		
AZ-ISM	upstream	iso-3166-2-subdivisions		
AZ-KAL	upstream	iso-3166-2-subdivisions		
AZ-KAN	upstream	iso-3166-2-subdivisions		
AZ-KUR	upstream	iso-3166-2-subdivisions		
AZ-LA	upstream	iso-3166-2-subdivisions		
AZ-LAC	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AZ-LAN	upstream	iso-3166-2-subdivisions		
AZ-LER	upstream	iso-3166-2-subdivisions		
AZ-MAS	upstream	iso-3166-2-subdivisions		
AZ-MI	upstream	iso-3166-2-subdivisions		
AZ-NA	upstream	iso-3166-2-subdivisions		
AZ-NEF	upstream	iso-3166-2-subdivisions		
AZ-NV	placeholder-circle	iso-3166-2-placeholder-circle		parent=AZ-NX
AZ-NX	upstream	iso-3166-2-subdivisions		
AZ-OGU	upstream	iso-3166-2-subdivisions		
AZ-ORD	upstream	iso-3166-2-subdivisions		
AZ-QAB	upstream	iso-3166-2-subdivisions		
AZ-QAX	upstream	iso-3166-2-subdivisions		
AZ-QAZ	upstream	iso-3166-2-subdivisions		
AZ-QBA	upstream	iso-3166-2-subdivisions		
AZ-QBI	upstream	iso-3166-2-subdivisions		
AZ-QOB	upstream	iso-3166-2-subdivisions		
AZ-QUS	upstream	iso-3166-2-subdivisions		
AZ-SA	upstream	iso-3166-2-subdivisions		
AZ-SAB	upstream	iso-3166-2-subdivisions		
AZ-SAD	upstream	iso-3166-2-subdivisions		
AZ-SAH	upstream	iso-3166-2-subdivisions		
AZ-SAK	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
AZ-SAL	upstream	iso-3166-2-subdivisions		
AZ-SAR	upstream	iso-3166-2-subdivisions		
AZ-SAT	upstream	iso-3166-2-subdivisions		
AZ-SBN	upstream	iso-3166-2-subdivisions		
AZ-SIY	upstream	iso-3166-2-subdivisions		
AZ-SKR	upstream	iso-3166-2-subdivisions		
AZ-SM	upstream	iso-3166-2-subdivisions		
AZ-SMI	upstream	iso-3166-2-subdivisions		
AZ-SMX	upstream	iso-3166-2-subdivisions		
AZ-SR	upstream	iso-3166-2-subdivisions		
AZ-SUS	upstream	iso-3166-2-subdivisions		
AZ-TAR	upstream	iso-3166-2-subdivisions		
AZ-TOV	upstream	iso-3166-2-subdivisions		
AZ-UCA	upstream	iso-3166-2-subdivisions		
AZ-XA	upstream	iso-3166-2-subdivisions		
AZ-XAC	upstream	iso-3166-2-subdivisions		
AZ-XCI	upstream	iso-3166-2-subdivisions		
AZ-XIZ	upstream	iso-3166-2-subdivisions		
AZ-XVD	upstream	iso-3166-2-subdivisions		
AZ-YAR	upstream	iso-3166-2-subdivisions		
AZ-YE	placeholder-circle	iso-3166-2-placeholder-circle		parent=AZ-YEV
AZ-YEV	upstream	iso-3166-2-subdivisions		
AZ-ZAN	upstream	iso-3166-2-subdivisions		
AZ-ZAQ	upstream	iso-3166-2-subdivisions		
AZ-ZAR	upstream	iso-3166-2-subdivisions		
BA	upstream	iso-3166-1-countries		
BA-01	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-02	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-03	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-04	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-05	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-06	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-07	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-08	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-09	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-10	placeholder-circle	iso-3166-2-placeholder-circle		parent=BA-BIH
BA-BIH	upstream	iso-3166-2-subdivisions		
BA-BRC	upstream	iso-3166-2-subdivisions		
BA-SRP	upstream	iso-3166-2-subdivisions		
BB	upstream	iso-3166-1-countries		
BB-01	upstream	iso-3166-2-subdivisions		
BB-02	upstream	iso-3166-2-subdivisions		
BB-03	upstream	iso-3166-2-subdivisions		
BB-04	upstream	iso-3166-2-subdivisions		
BB-05	upstream	iso-3166-2-subdivisions		
BB-06	upstream	iso-3166-2-subdivisions		
BB-07	upstream	iso-3166-2-subdivisions		
BB-08	upstream	iso-3166-2-subdivisions		
BB-09	upstream	iso-3166-2-subdivisions		
BB-10	upstream	iso-3166-2-subdivisions		
BB-11	upstream	iso-3166-2-subdivisions		
BD	upstream	iso-3166-1-countries		
BD-01	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-02	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-03	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-04	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-05	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-06	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-07	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-08	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-09	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-10	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-11	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-12	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-13	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-14	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-15	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-16	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-17	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-18	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-19	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-20	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-G
BD-21	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BD-22	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-23	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-24	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-25	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-26	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-27	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-28	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-29	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-30	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-31	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-32	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-33	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-34	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BD-35	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-36	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-37	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-38	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-G
BD-39	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-40	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-41	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BD-42	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-43	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-44	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-45	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-46	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-47	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-48	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-49	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-50	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-51	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-A
BD-52	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-53	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-54	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-55	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-56	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-B
BD-57	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BD-58	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-D
BD-59	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-E
BD-60	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-G
BD-61	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-G
BD-62	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-63	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-C
BD-64	placeholder-circle	iso-3166-2-placeholder-circle		parent=BD-F
BD-A	upstream	iso-3166-2-subdivisions		
BD-B	upstream	iso-3166-2-subdivisions		
BD-C	upstream	iso-3166-2-subdivisions		
BD-D	upstream	iso-3166-2-subdivisions		
BD-E	upstream	iso-3166-2-subdivisions		
BD-F	upstream	iso-3166-2-subdivisions		
BD-G	upstream	iso-3166-2-subdivisions		
BD-H	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BE	upstream	iso-3166-1-countries		
BE-BRU	upstream	iso-3166-2-subdivisions		
BE-VAN	upstream	iso-3166-2-subdivisions		
BE-VBR	upstream	iso-3166-2-subdivisions		
BE-VLG	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BE-VLI	upstream	iso-3166-2-subdivisions		
BE-VOV	upstream	iso-3166-2-subdivisions		
BE-VWV	upstream	iso-3166-2-subdivisions		
BE-WAL	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BE-WBR	upstream	iso-3166-2-subdivisions		
BE-WHT	upstream	iso-3166-2-subdivisions		
BE-WLG	upstream	iso-3166-2-subdivisions		
BE-WLX	upstream	iso-3166-2-subdivisions		
BE-WNA	upstream	iso-3166-2-subdivisions		
BF	upstream	iso-3166-1-countries		
BF-01	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-02	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-03	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-04	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-05	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-06	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-07	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-08	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-09	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-10	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-11	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-12	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-13	placeholder-circle	iso-3166-2-placeholder-circle		coords from Wikidata P625
BF-BAL	upstream	iso-3166-2-subdivisions		
BF-BAM	upstream	iso-3166-2-subdivisions		
BF-BAN	upstream	iso-3166-2-subdivisions		
BF-BAZ	upstream	iso-3166-2-subdivisions		
BF-BGR	upstream	iso-3166-2-subdivisions		
BF-BLG	upstream	iso-3166-2-subdivisions		
BF-BLK	upstream	iso-3166-2-subdivisions		
BF-COM	upstream	iso-3166-2-subdivisions		
BF-GAN	upstream	iso-3166-2-subdivisions		
BF-GNA	upstream	iso-3166-2-subdivisions		
BF-GOU	upstream	iso-3166-2-subdivisions		
BF-HOU	upstream	iso-3166-2-subdivisions		
BF-IOB	upstream	iso-3166-2-subdivisions		
BF-KAD	upstream	iso-3166-2-subdivisions		
BF-KEN	upstream	iso-3166-2-subdivisions		
BF-KMD	upstream	iso-3166-2-subdivisions		
BF-KMP	upstream	iso-3166-2-subdivisions		
BF-KOP	upstream	iso-3166-2-subdivisions		
BF-KOS	upstream	iso-3166-2-subdivisions		
BF-KOT	upstream	iso-3166-2-subdivisions		
BF-KOW	upstream	iso-3166-2-subdivisions		
BF-LER	upstream	iso-3166-2-subdivisions		
BF-LOR	upstream	iso-3166-2-subdivisions		
BF-MOU	upstream	iso-3166-2-subdivisions		
BF-NAM	upstream	iso-3166-2-subdivisions		
BF-NAO	upstream	iso-3166-2-subdivisions		
BF-NAY	upstream	iso-3166-2-subdivisions		
BF-NOU	upstream	iso-3166-2-subdivisions		
BF-OUB	upstream	iso-3166-2-subdivisions		
BF-OUD	upstream	iso-3166-2-subdivisions		
BF-PAS	upstream	iso-3166-2-subdivisions		
BF-PON	upstream	iso-3166-2-subdivisions		
BF-SEN	upstream	iso-3166-2-subdivisions		
BF-SIS	upstream	iso-3166-2-subdivisions		
BF-SMT	upstream	iso-3166-2-subdivisions		
BF-SNG	upstream	iso-3166-2-subdivisions		
BF-SOM	upstream	iso-3166-2-subdivisions		
BF-SOR	upstream	iso-3166-2-subdivisions		
BF-TAP	upstream	iso-3166-2-subdivisions		
BF-TUI	upstream	iso-3166-2-subdivisions		
BF-YAG	upstream	iso-3166-2-subdivisions		
BF-YAT	upstream	iso-3166-2-subdivisions		
BF-ZIR	upstream	iso-3166-2-subdivisions		
BF-ZON	upstream	iso-3166-2-subdivisions		
BF-ZOU	upstream	iso-3166-2-subdivisions		
BG	upstream	iso-3166-1-countries		
BG-01	upstream	iso-3166-2-subdivisions		
BG-02	upstream	iso-3166-2-subdivisions		
BG-03	upstream	iso-3166-2-subdivisions		
BG-04	upstream	iso-3166-2-subdivisions		
BG-05	upstream	iso-3166-2-subdivisions		
BG-06	upstream	iso-3166-2-subdivisions		
BG-07	upstream	iso-3166-2-subdivisions		
BG-08	upstream	iso-3166-2-subdivisions		
BG-09	upstream	iso-3166-2-subdivisions		
BG-10	upstream	iso-3166-2-subdivisions		
BG-11	upstream	iso-3166-2-subdivisions		
BG-12	upstream	iso-3166-2-subdivisions		
BG-13	upstream	iso-3166-2-subdivisions		
BG-14	upstream	iso-3166-2-subdivisions		
BG-15	upstream	iso-3166-2-subdivisions		
BG-16	upstream	iso-3166-2-subdivisions		
BG-17	upstream	iso-3166-2-subdivisions		
BG-18	upstream	iso-3166-2-subdivisions		
BG-19	upstream	iso-3166-2-subdivisions		
BG-20	upstream	iso-3166-2-subdivisions		
BG-21	upstream	iso-3166-2-subdivisions		
BG-22	upstream	iso-3166-2-subdivisions		
BG-23	upstream	iso-3166-2-subdivisions		
BG-24	upstream	iso-3166-2-subdivisions		
BG-25	upstream	iso-3166-2-subdivisions		
BG-26	upstream	iso-3166-2-subdivisions		
BG-27	upstream	iso-3166-2-subdivisions		
BG-28	upstream	iso-3166-2-subdivisions		
BH	upstream	iso-3166-1-countries		
BH-13	upstream	iso-3166-2-subdivisions		
BH-14	upstream	iso-3166-2-subdivisions		
BH-15	upstream	iso-3166-2-subdivisions		
BH-16	upstream	iso-3166-2-subdivisions		
BH-17	upstream	iso-3166-2-subdivisions		
BI	upstream	iso-3166-1-countries		
BI-BB	upstream	iso-3166-2-subdivisions		
BI-BL	upstream	iso-3166-2-subdivisions		
BI-BM	upstream	iso-3166-2-subdivisions		
BI-BR	upstream	iso-3166-2-subdivisions		
BI-CA	upstream	iso-3166-2-subdivisions		
BI-CI	upstream	iso-3166-2-subdivisions		
BI-GI	upstream	iso-3166-2-subdivisions		
BI-KI	upstream	iso-3166-2-subdivisions		
BI-KR	upstream	iso-3166-2-subdivisions		
BI-KY	upstream	iso-3166-2-subdivisions		
